,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
"Architecture, Construction & Engineering Charter High (ACE)",25344.0,"Architecture, Construction & Engineering Charter High (Ace)",charter,9-12,180.0,4.0,5.0,Camarillo,CA,1020.0,Oxnard Union High School District,629270.0,"570 Airport Way, 
Camarillo, CA  93010",(805) 437-1410,(805) 437-1491,www.acecharterhigh.org,62927012465.0,34.208023,-119.07623000000001,"https://www.greatschools.org/california/camarillo/25344-Architecture,-Construction-&-Engineering-Charter-High-(Ace)/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/camarillo/25344-Architecture,-Construction-&-Engineering-Charter-High-(Ace)/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/camarillo/25344-Architecture,-Construction-&-Engineering-Charter-High-(Ace)/?utm_source=GSAPI&utm_medium=referral#Reviews","https://www.greatschools.org/california/camarillo/25344-Architecture,-Construction-&-Engineering-Charter-High-(Ace)/?utm_source=GSAPI&utm_medium=referral",3.0,6.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
Rancho Campana High,32250.0,Rancho Campana High,public,9-12,345.0,10.0,,Camarillo,CA,1020.0,Oxnard Union High School District,629270.0,"4235 Mar Vista Drive, 
Camarillo, CA  93010",(805) 385-2500,,www.ouhsd.k12.ca.us,62927013876.0,34.244354,-119.02138000000001,https://www.greatschools.org/california/camarillo/32250-Rancho-Campana-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/camarillo/32250-Rancho-Campana-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/camarillo/32250-Rancho-Campana-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/camarillo/32250-Rancho-Campana-High/?utm_source=GSAPI&utm_medium=referral,,10.0,,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,
Adolfo Camarillo High,7652.0,Adolfo Camarillo High School,public,9-12,2418.0,8.0,3.0,Camarillo,CA,1020.0,Oxnard Union High School District,629270.0,"4660 Mission Oaks Boulevard, 
Camarillo, CA  93012",(805) 389-6407,(805) 484-8087,http://www.ouhsd.k12.ca.us,62927004516.0,34.219437,-119.00781,https://www.greatschools.org/california/camarillo/7652-Adolfo-Camarillo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/camarillo/7652-Adolfo-Camarillo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/camarillo/7652-Adolfo-Camarillo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/camarillo/7652-Adolfo-Camarillo-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Channel Islands High,7653.0,Channel Islands High School,public,9-12,2433.0,3.0,4.0,Oxnard,CA,1020.0,Oxnard Union High School District,629270.0,"1400 Raiders Way, 
Oxnard, CA  93033",(805) 385-2787,(805) 385-2748,www.ouhsd.k12.ca.us,62927004517.0,34.171054999999996,-119.16116000000001,https://www.greatschools.org/california/oxnard/7653-Channel-Islands-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7653-Channel-Islands-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7653-Channel-Islands-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/7653-Channel-Islands-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Hueneme High,7655.0,Hueneme High School,public,9-12,2118.0,3.0,3.0,Oxnard,CA,1020.0,Oxnard Union High School District,629270.0,"500 West Bard Road, 
Oxnard, CA  93033",(805) 385-2667,(805) 385-2817,http://www.huenemehigh.us/,62927004519.0,34.160942,-119.17375,https://www.greatschools.org/california/oxnard/7655-Hueneme-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7655-Hueneme-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7655-Hueneme-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/7655-Hueneme-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Oxnard High,7656.0,Oxnard High School,public,9-12,2814.0,4.0,5.0,Oxnard,CA,1020.0,Oxnard Union High School District,629270.0,"3400 West Gonzales Road, 
Oxnard, CA  93036",(805) 278-2907,(805) 278-2912,http://www.oxnardhigh.us/,62927004520.0,34.217909999999996,-119.214,https://www.greatschools.org/california/oxnard/7656-Oxnard-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7656-Oxnard-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7656-Oxnard-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/7656-Oxnard-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Rio Mesa High,7657.0,Rio Mesa High School,public,9-12,2183.0,5.0,4.0,Oxnard,CA,1020.0,Oxnard Union High School District,629270.0,"545 Central Avenue, 
Oxnard, CA  93030",(805) 278-5500,(805) 278-5525,http://www.riomesahigh.us/,62927004521.0,34.254191999999996,-119.14758,https://www.greatschools.org/california/oxnard/7657-Rio-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7657-Rio-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/7657-Rio-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/7657-Rio-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,4.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
Santa Susana High,7713.0,Santa Susana High School,public,9-12,1271.0,9.0,4.0,Simi Valley,CA,1025.0,Simi Valley Unified School District,636840.0,"3570 East Cochran Street, 
Simi Valley, CA  93063",(805) 520-6800,(805) 520-6778,http://www.santasusana.org/,63684006815.0,34.278940000000006,-118.72688000000001,https://www.greatschools.org/california/simi-valley/7713-Santa-Susana-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/simi-valley/7713-Santa-Susana-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/simi-valley/7713-Santa-Susana-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/simi-valley/7713-Santa-Susana-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,
Royal High,7711.0,Royal High School,public,9-12,1988.0,8.0,4.0,Simi Valley,CA,1025.0,Simi Valley Unified School District,636840.0,"1402 Royal Avenue, 
Simi Valley, CA  93065",(805) 306-4875,(805) 520-6644,http://www.royalhighlanders.org/,63684006264.0,34.264416,-118.77282,https://www.greatschools.org/california/simi-valley/7711-Royal-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/simi-valley/7711-Royal-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/simi-valley/7711-Royal-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/simi-valley/7711-Royal-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Simi Valley High,7715.0,Simi Valley High School,public,9-12,2201.0,8.0,4.0,Simi Valley,CA,1025.0,Simi Valley Unified School District,636840.0,"5400 Cochran Street, 
Simi Valley, CA  93063",(805) 577-1400,(805) 520-6633,www.simi.svhs.k12.ca.us,63684006268.0,34.278965,-118.68722,https://www.greatschools.org/california/simi-valley/7715-Simi-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/simi-valley/7715-Simi-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/simi-valley/7715-Simi-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/simi-valley/7715-Simi-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Foothill Technology High,11216.0,Foothill Technology High School,public,9-12,1023.0,9.0,4.0,Ventura,CA,1029.0,Ventura Unified School District,640980.0,"100 Day Road, 
Ventura, CA  93003",(805) 289-0023,(805) 289-0029,www.venturausd.org/foothill.htm,64098008668.0,34.278027,-119.22675,https://www.greatschools.org/california/ventura/11216-Foothill-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ventura/11216-Foothill-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ventura/11216-Foothill-Technology-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ventura/11216-Foothill-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,
Buena High,7735.0,Buena High School,public,9-12,1949.0,6.0,4.0,Ventura,CA,1029.0,Ventura Unified School District,640980.0,"5670 Telegraph Road, 
Ventura, CA  93003",(805) 289-1826,(805) 289-1854,www.venturausd.org/buena.htm,64098006748.0,34.277508000000005,-119.21715,https://www.greatschools.org/california/ventura/7735-Buena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ventura/7735-Buena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ventura/7735-Buena-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ventura/7735-Buena-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,5.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Ventura High,7756.0,Ventura High School,public,9-12,2162.0,6.0,3.0,Ventura,CA,1029.0,Ventura Unified School District,640980.0,"2 North Catalina Street, 
Ventura, CA  93001",(805) 641-5116,(805) 641-5310,www.venturausd.org/ventura.htm,64098006768.0,34.2778,-119.26892,https://www.greatschools.org/california/ventura/7756-Ventura-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ventura/7756-Ventura-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ventura/7756-Ventura-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ventura/7756-Ventura-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,4.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Westlake High,7602.0,Westlake High School,public,9-12,2370.0,9.0,4.0,Westlake Village,CA,1011.0,Conejo Valley Unified School District,609640.0,"100 North Lakeview Canyon Road, 
Westlake Village, CA  91362",(805) 497-6711,(805) 497-2606,,60964001031.0,34.15887,-118.81778999999999,https://www.greatschools.org/california/westlake-village/7602-Westlake-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/westlake-village/7602-Westlake-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/westlake-village/7602-Westlake-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/westlake-village/7602-Westlake-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Newbury Park High,7593.0,Newbury Park High School,public,9-12,2511.0,8.0,5.0,Newbury Park,CA,1011.0,Conejo Valley Unified School District,609640.0,"456 North Reino Road, 
Newbury Park, CA  91320",(805) 498-3676,(805) 499-3549,http://www.nphs.org/,60964001020.0,34.185333,-118.95398,https://www.greatschools.org/california/newbury-park/7593-Newbury-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newbury-park/7593-Newbury-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newbury-park/7593-Newbury-Park-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/newbury-park/7593-Newbury-Park-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Thousand Oaks High,7597.0,Thousand Oaks High School,public,9-12,2296.0,8.0,4.0,Thousand Oaks,CA,1011.0,Conejo Valley Unified School District,609640.0,"2323 North Moorpark Road, 
Thousand Oaks, CA  91360",(805) 495-7491,(805) 374-1165,www.tohs.org,60964001024.0,34.211002,-118.86841000000001,https://www.greatschools.org/california/thousand-oaks/7597-Thousand-Oaks-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/thousand-oaks/7597-Thousand-Oaks-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/thousand-oaks/7597-Thousand-Oaks-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/thousand-oaks/7597-Thousand-Oaks-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,7.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Oak Park High,7637.0,Oak Park High School,public,9-12,1542.0,10.0,3.0,Oak Park,CA,1017.0,Oak Park Unified School District,627850.0,"899 Kanan Road, 
Oak Park, CA  91377",(818) 735-3300,(818) 707-7970,http://www.oakparkusd.org/page/1010,62785007253.0,34.18108,-118.76525,https://www.greatschools.org/california/oak-park/7637-Oak-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oak-park/7637-Oak-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oak-park/7637-Oak-Park-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oak-park/7637-Oak-Park-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,
IvyTech Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The High School at Moorpark College,12118.0,The High School At Moorpark College,public,11-12,82.0,8.0,4.0,Moorpark,CA,1015.0,Moorpark Unified School District,625690.0,"7075 Campus Road, 
Moorpark, CA  93021",(805) 378-1444,(805) 378-1440,http://www.mrpk.org/hsmc/,62569010455.0,34.299865999999994,-118.83203,https://www.greatschools.org/california/moorpark/12118-The-High-School-At-Moorpark-College/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/moorpark/12118-The-High-School-At-Moorpark-College/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/moorpark/12118-The-High-School-At-Moorpark-College/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/moorpark/12118-The-High-School-At-Moorpark-College/?utm_source=GSAPI&utm_medium=referral,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorpark High,7629.0,Moorpark High School,public,9-12,2004.0,8.0,5.0,Moorpark,CA,1015.0,Moorpark Unified School District,625690.0,"4500 Tierra Rejada Road, 
Moorpark, CA  93021",(805) 378-6305,(805) 531-6498,http://www.mhs.mrpk.k12.ca.us,62569007784.0,34.270187,-118.89871000000001,https://www.greatschools.org/california/moorpark/7629-Moorpark-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/moorpark/7629-Moorpark-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/moorpark/7629-Moorpark-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/moorpark/7629-Moorpark-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Santa Paula High,7732.0,Santa Paula High,public,9-12,1588.0,4.0,2.0,Santa Paula,CA,1545.0,Santa Paula Unified School District,601421.0,"404 North Sixth Street, 
Santa Paula, CA  93060",(805) 525-4400,,www.santapaulaunified.org,60142106114.0,34.356396000000004,-119.0695,https://www.greatschools.org/california/santa-paula/7732-Santa-Paula-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-paula/7732-Santa-Paula-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-paula/7732-Santa-Paula-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-paula/7732-Santa-Paula-High/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Da Vinci Charter Academy,25103.0,Da Vinci Charter Academy,charter,7-12,583.0,8.0,5.0,Davis,CA,1037.0,Davis Joint Unified School District,610620.0,"1400 East Eighth Street, 
Davis, CA  95616",(530) 757-7154,,www.davincicharteracademy.net/,61062012422.0,38.553047,-121.73376,https://www.greatschools.org/california/davis/25103-Da-Vinci-Charter-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/davis/25103-Da-Vinci-Charter-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/davis/25103-Da-Vinci-Charter-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/davis/25103-Da-Vinci-Charter-Academy/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,
Davis Senior High,7788.0,Davis Senior High School,public,10-12,1683.0,9.0,5.0,Davis,CA,1037.0,Davis Joint Unified School District,610620.0,"315 West 14th Street, 
Davis, CA  95616",(530) 757-5400,(530) 757-5492,http://dshs.djusd.net/,61062001176.0,38.555884999999996,-121.75123,https://www.greatschools.org/california/davis/7788-Davis-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/davis/7788-Davis-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/davis/7788-Davis-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/davis/7788-Davis-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Esparto High,7799.0,Esparto High School,public,9-12,274.0,5.0,3.0,Esparto,CA,1038.0,Esparto Unified School District,612930.0,"17121 Yolo Avenue, 
Esparto, CA  95627",(530) 787-3405,(530) 787-4850,http://ehs-esparto-ca.schoolloop.com/,61293001470.0,38.691772,-122.01692,https://www.greatschools.org/california/esparto/7799-Esparto-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/esparto/7799-Esparto-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/esparto/7799-Esparto-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/esparto/7799-Esparto-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Winters High,7814.0,Winters High School,public,9-12,435.0,5.0,3.0,Winters,CA,1040.0,Winters Joint Unified School District,642930.0,"101 Grant Avenue, 
Winters, CA  95694",(530) 795-6140,(530) 795-6147,http://whs.wintersisd.org/,64293006986.0,38.52568,-121.96898999999999,https://www.greatschools.org/california/winters/7814-Winters-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/winters/7814-Winters-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/winters/7814-Winters-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/winters/7814-Winters-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
