,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Montgomery Senior High,6291,Montgomery Senior High School,public,9-12,1684,4,3,San Diego,CA,710,Sweetwater Union High School District,0638640,"3250 Palm Avenue, 
San Diego, CA  92154",(619) 628-3800,(619) 424-6473,,063864006488,32.583874,-117.06422,https://www.greatschools.org/california/san-diego/6291-Montgomery-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6291-Montgomery-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6291-Montgomery-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6291-Montgomery-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
SIATech,13792,SIATech School,charter,11-12,1122,,5,Oceanside,CA,714,Vista Unified School District,0641190,"2611 Temple Heights Drive, Suite A, 
Oceanside, CA  92056",(760) 945-1227,(760) 631-3411,www.siatech.org,064119011401,33.21609,-117.26989,https://www.greatschools.org/california/oceanside/13792-SIATech-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oceanside/13792-SIATech-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oceanside/13792-SIATech-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oceanside/13792-SIATech-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
North County Trade Tech High,24630,North County Trade Tech High School,charter,9-12,161,2,5,Vista,CA,714,Vista Unified School District,0641190,"1126 North Melrose Drive, Suite 301, 
Vista, CA  92083",(760) 598-0782,(760) 598-0895,www.tradetechhigh.org,064119011970,33.212383,-117.25573,https://www.greatschools.org/california/vista/24630-North-County-Trade-Tech-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/vista/24630-North-County-Trade-Tech-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/vista/24630-North-County-Trade-Tech-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/vista/24630-North-County-Trade-Tech-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Rancho Buena Vista High,6326,Rancho Buena Vista High School,public,9-12,2417,8,4,Vista,CA,714,Vista Unified School District,0641190,"1601 Longhorn Drive, 
Vista, CA  92081",(760) 727-7284,(760) 598-7062,www.rbv.vistausd.org,064119009203,33.164593,-117.24715,https://www.greatschools.org/california/vista/6326-Rancho-Buena-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/vista/6326-Rancho-Buena-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/vista/6326-Rancho-Buena-Vista-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/vista/6326-Rancho-Buena-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Vista High,6328,Vista High School,public,9-12,2524,6,3,Vista,CA,714,Vista Unified School District,0641190,"1 Panther Drive, 
Vista, CA  92084",(760) 726-5611,(760) 630-9738,www.vhs.vistausd.org,064119006824,33.223362,-117.2419,https://www.greatschools.org/california/vista/6328-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/vista/6328-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/vista/6328-Vista-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/vista/6328-Vista-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Sage Creek High,31104,Sage Creek High School,public,9-12,1256,9,3,Carlsbad,CA,680,Carlsbad Unified School District,0607500,"3900 Cannon Road, 
Carlsbad, CA  92010",(760) 331-6600,(760) 730-9698,http://carlsbadusd.k12.ca.us,060750013058,33.156963,-117.28597,https://www.greatschools.org/california/carlsbad/31104-Sage-Creek-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carlsbad/31104-Sage-Creek-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carlsbad/31104-Sage-Creek-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carlsbad/31104-Sage-Creek-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Carlsbad High,5866,Carlsbad High School,public,9-12,2459,9,3,Carlsbad,CA,680,Carlsbad Unified School District,0607500,"3557 Monroe Street, 
Carlsbad, CA  92008",(760) 331-5100,(760) 729-6830,www.carlsbadusd.k12.ca.us,060750000709,33.1624,-117.32698,https://www.greatschools.org/california/carlsbad/5866-Carlsbad-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carlsbad/5866-Carlsbad-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carlsbad/5866-Carlsbad-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carlsbad/5866-Carlsbad-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Oceanside High,6014,Oceanside High School,public,9-12,2160,5,4,Oceanside,CA,697,Oceanside Unified School District,0628250,"1 Pirates Cove, 
Oceanside, CA  92054",(760) 901-8200,(760) 757-2419,http://ohs.oside.us/,062825004368,33.197067,-117.37414,https://www.greatschools.org/california/oceanside/6014-Oceanside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oceanside/6014-Oceanside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oceanside/6014-Oceanside-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oceanside/6014-Oceanside-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
El Camino High,6985,El Camino High School,public,9-12,1387,8,4,South San Francisco,CA,801,South San Francisco Unified School District,0637530,"1320 Mission Road, 
South San Francisco, CA  94080",(650) 877-8806,(650) 589-2343,http://www.smcoe.k12.ca.us/ssfusd/echs/index.html,063753006342,37.66481,-122.44354,https://www.greatschools.org/california/south-san-francisco/6985-El-Camino-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-san-francisco/6985-El-Camino-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-san-francisco/6985-El-Camino-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/south-san-francisco/6985-El-Camino-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Mission Hills High,13848,Mission Hills High School,public,9-12,2530,8,4,San Marcos,CA,706,San Marcos Unified School District,0634880,"1 Mission Hills Court, 
San Marcos, CA  92069",(760) 290-2680,(760) 290-2685,https://www.smusd.org/mhhs,063488011404,33.147163,-117.14694,https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
San Marcos High,6266,San Marcos High School,public,9-12,3048,9,4,San Marcos,CA,706,San Marcos Unified School District,0634880,"1615 San Marcos Boulevard, 
San Marcos, CA  92078",(760) 290-2200,(760) 736-8275,www.smusd.org,063488005893,33.131214,-117.20543,https://www.greatschools.org/california/san-marcos/6266-San-Marcos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/6266-San-Marcos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/6266-San-Marcos-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-marcos/6266-San-Marcos-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Pathways Academy Charter - Adult Education,32634,Pathways Academy Charter Adult Education,charter,9-12,,,,San Marcos,CA,249,Acton-Agua Dulce Unified School District,0600001,"1782 La Costa Meadows Drive, Suite 102, 
San Marcos, CA  92078",(760) 494-9646,,www.pathwaysacademy.org,060000114062,33.104626,-117.21871,https://www.greatschools.org/california/san-marcos/32634-Pathways-Academy-Charter-Adult-Education/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/32634-Pathways-Academy-Charter-Adult-Education/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/32634-Pathways-Academy-Charter-Adult-Education/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-marcos/32634-Pathways-Academy-Charter-Adult-Education/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Warner Junior/Senior High,6333,Warner Junior/Senior High School,public,7-12,95,2,,Warner Springs,CA,715,Warner Unified School District,0600042,"30951 Highway 79, 
Warner Springs, CA  92086",(760) 782-3517,(760) 782-0605,http://warnerusd.net,060004205341,33.292294,-116.68489,https://www.greatschools.org/california/warner-springs/6333-Warner-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/warner-springs/6333-Warner-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/warner-springs/6333-Warner-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/warner-springs/6333-Warner-Junior-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Valley Center High,11128,Valley Center High,public,9-12,1183,7,4,Valley Center,CA,1050,Valley Center-Pauma Unified School District,0600069,"31322 Cole Grade Road, 
Valley Center, CA  92082",(760) 751-5502,(760) 751-5509,http://vchs.vcpusd.net/,060006908607,33.279827,-117.02379,https://www.greatschools.org/california/valley-center/11128-Valley-Center-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/valley-center/11128-Valley-Center-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/valley-center/11128-Valley-Center-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/valley-center/11128-Valley-Center-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
High Tech High Chula Vista,17476,High Tech High Chula Vista School,charter,9-12,639,6,4,Chula Vista,CA,1220,Sbc - High Technical High School District,0601322,"1945 Discovery Falls Drive, 
Chula Vista, CA  91915",(619) 243-5014,(619) 591-2503,www.hightechhigh.org,060132212083,32.62223,-116.95962,https://www.greatschools.org/california/chula-vista/17476-High-Tech-High-Chula-Vista-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/17476-High-Tech-High-Chula-Vista-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/17476-High-Tech-High-Chula-Vista-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/17476-High-Tech-High-Chula-Vista-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
High Tech High North County,17469,High Tech High North County School,charter,9-12,484,7,4,San Marcos,CA,1220,Sbc - High Technical High School District,0601322,"1420 San Marcos Boulevard, 
San Marcos, CA  92078",(619) 243-5014,(760) 759-2799,www.hightechhigh.org,060132212064,33.131485,-117.20153,https://www.greatschools.org/california/san-marcos/17469-High-Tech-High-North-County-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/17469-High-Tech-High-North-County-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-marcos/17469-High-Tech-High-North-County-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-marcos/17469-High-Tech-High-North-County-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
High Tech High Mesa,32714,High Tech High Mesa,public,9,,,,San Diego,CA,1220,Sbc - High Technical High School District,0601322,"5331 Mount Alifan, 
San Diego, CA  92111",(619) 814-5084,,www.hightechhigh.org,,32.815662,-117.18079,https://www.greatschools.org/california/san-diego/32714-High-Tech-High-Mesa/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/32714-High-Tech-High-Mesa/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/32714-High-Tech-High-Mesa/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/32714-High-Tech-High-Mesa/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bonsall High,31970,Bonsall High,public,9-12,330,3,,Bonsall,CA,1553,Bonsall Unified School District,0601426,"7350 West Lilac Road, 
Bonsall, CA  92003",(760) 305-5700,,www.bonsallhs.com,060142613751,33.29716,-117.17493,https://www.greatschools.org/california/bonsall/31970-Bonsall-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/bonsall/31970-Bonsall-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/bonsall/31970-Bonsall-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/bonsall/31970-Bonsall-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Five Keys Charter (SF Sheriff's),12372,Five Keys Charter (SF Sheriff'S) School,charter,9-12,382,,5,San Bruno,CA,717,San Francisco Unified School District,0634410,"1 Moreland Drive, 
San Bruno, CA  94066",(415) 734-3310,(415) 734-3314,www.fivekeyscharter.org,063441011407,37.62711,-122.46032,https://www.greatschools.org/california/san-bruno/12372-Five-Keys-Charter-(SF-Sheriff'S)-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-bruno/12372-Five-Keys-Charter-(SF-Sheriff'S)-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-bruno/12372-Five-Keys-Charter-(SF-Sheriff'S)-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-bruno/12372-Five-Keys-Charter-(SF-Sheriff'S)-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
City Arts and Tech High,13756,City Arts And Tech High School,charter,9-12,278,5,4,San Francisco,CA,717,San Francisco Unified School District,0634410,"325 La Grande Avenue, 
San Francisco, CA  94112",(415) 841-2200,(415) 585-3009,www.es-cat.org,063441011408,37.720005,-122.42553,https://www.greatschools.org/california/san-francisco/13756-City-Arts-And-Tech-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-francisco/13756-City-Arts-And-Tech-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-francisco/13756-City-Arts-And-Tech-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-francisco/13756-City-Arts-And-Tech-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Five Keys Adult School (SF Sheriff's),24793,Five Keys Adult School (Sf Sheriff's),charter,9-12,163,,5,San Francisco,CA,717,San Francisco Unified School District,0634410,"70 Oak Grove, 
San Francisco, CA  94107",(415) 734-3310,(415) 734-3314,www.fivekeyscharter.org,063441012373,37.77716,-122.40215,https://www.greatschools.org/california/san-francisco/24793-Five-Keys-Adult-School-(Sf-Sheriff's)/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-francisco/24793-Five-Keys-Adult-School-(Sf-Sheriff's)/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-francisco/24793-Five-Keys-Adult-School-(Sf-Sheriff's)/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-francisco/24793-Five-Keys-Adult-School-(Sf-Sheriff's)/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Five Keys Independence HS (SF Sheriff's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIPP San Francisco College Preparatory,27281,KIPP San Francisco College Preparatory,charter,9-12,312,7,,San Francisco,CA,717,San Francisco Unified School District,0634410,"1195 Hudson Avenue, 
San Francisco, CA  94124",(415) 643-6951,,www.kippbayarea.org/schools/sfcollegeprep,063441013410,37.732376,-122.38235,https://www.greatschools.org/california/san-francisco/27281-KIPP-San-Francisco-College-Preparatory/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-francisco/27281-KIPP-San-Francisco-College-Preparatory/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-francisco/27281-KIPP-San-Francisco-College-Preparatory/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-francisco/27281-KIPP-San-Francisco-College-Preparatory/?utm_source=GSAPI&utm_medium=referral,,,,,,,
