,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Santa Barbara Senior High,4902.0,Santa Barbara Senior High School,public,9-12,2188.0,6.0,4.0,Santa Barbara,CA,1224.0,Santa Barbara Unified School District,601414.0,"700 East Anapamu Street, 
Santa Barbara, CA  93103",(805) 966-9101,(805) 965-6872,www.sbunified.org,60141406031.0,34.42963,-119.69778,https://www.greatschools.org/california/santa-barbara/4902-Santa-Barbara-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-barbara/4902-Santa-Barbara-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-barbara/4902-Santa-Barbara-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-barbara/4902-Santa-Barbara-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,2.0,,3.0,,24.0,281.0,81.0,100.0,87211.0,6.0,3.0,9.0,56.0,464.0,36.0,228.0,33.0,455.0,16.0,223.0,35.0,25.0,89.0,90.0,40.0,93103.0,Santa Barbara Senior High
University Preparatory Academy Charter,17533.0,University Preparatory Academy Charter,charter,7-12,593.0,9.0,4.0,San Jose,CA,1116.0,Santa Clara County Office Of Education School District,691035.0,"2315 Canoas Garden Avenue, 
San Jose, CA  95125",(408) 723-1839,(408) 723-1839,www.upasv.org,69103512016.0,37.292255,-121.87392,https://www.greatschools.org/california/san-jose/17533-University-Preparatory-Academy-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/17533-University-Preparatory-Academy-Charter/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/17533-University-Preparatory-Academy-Charter/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/17533-University-Preparatory-Academy-Charter/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,7.0,,7.0,,20.0,496.0,86.0,100.0,61489.0,10.0,7.0,,91.0,97.0,60.0,82.0,72.0,97.0,44.0,81.0,100.0,100.0,93.0,79.0,11.0,95125.0,University Preparatory Academy Charter
Summit Public School: Tahoma,25620.0,Summit Public School: Tahoma,charter,9-12,375.0,7.0,4.0,San Jose,CA,1116.0,Santa Clara County Office Of Education School District,691035.0,"285 Blossom Hill Road, 
San Jose, CA  95123",(408) 729-1981,,tahoma.summitps.org,69103512625.0,37.252796,-121.81957,https://www.greatschools.org/california/san-jose/25620-Summit-Public-School:-Tahoma/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/25620-Summit-Public-School:-Tahoma/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/25620-Summit-Public-School:-Tahoma/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/25620-Summit-Public-School:-Tahoma/?utm_source=GSAPI&utm_medium=referral,5.0,8.0,,5.0,,7.0,,17.0,,52.0,100.0,54275.0,8.0,7.0,9.0,76.0,96.0,64.0,36.0,40.0,96.0,28.0,36.0,96.0,97.0,81.0,86.0,49.0,95123.0,Summit Public School: Tahoma
Opportunity Youth Academy,32438.0,Opportunity Youth Academy,charter,9-12,,,,San Jose,CA,1116.0,Santa Clara County Office Of Education School District,691035.0,"1290 Ridder Park Drive, 
San Jose, CA  95131",(844) 692-4888,,www.sccoe.org/depts/students/oya/pages/default.aspx,69103514054.0,37.383907,-121.90023,https://www.greatschools.org/california/san-jose/32438-Opportunity-Youth-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32438-Opportunity-Youth-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32438-Opportunity-Youth-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/32438-Opportunity-Youth-Academy/?utm_source=GSAPI&utm_medium=referral,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,11.0,38.0,13.0,32.0,,,,,,,10.0,11.0,,95131.0,Opportunity Youth Academy
Leigh High,5425.0,Leigh High School,public,9-12,1654.0,9.0,3.0,San Jose,CA,630.0,Campbell Union High School District,607230.0,"5210 Leigh Avenue, 
San Jose, CA  95124",(408) 626-3405,(408) 265-7525,http://www.leigh.cuhsd.org,60723008122.0,37.24331,-121.92258,https://www.greatschools.org/california/san-jose/5425-Leigh-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5425-Leigh-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5425-Leigh-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/5425-Leigh-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,5.0,,6.0,,23.0,559.0,86.0,100.0,73225.0,9.0,6.0,9.0,69.0,411.0,47.0,45.0,53.0,409.0,38.0,45.0,71.0,49.0,97.0,95.0,5.0,95124.0,Leigh High
Branham High,11149.0,Branham High School,public,9-12,1514.0,9.0,3.0,San Jose,CA,630.0,Campbell Union High School District,607230.0,"1570 Branham Lane, 
San Jose, CA  95118",(408) 626-3407,(408) 267-2676,www.branham.cuhsd.org,60723008350.0,37.254578,-121.89957,https://www.greatschools.org/california/san-jose/11149-Branham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/11149-Branham-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/11149-Branham-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/11149-Branham-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,7.0,,7.0,,24.0,511.0,77.0,100.0,69067.0,9.0,7.0,10.0,85.0,395.0,70.0,76.0,47.0,397.0,29.0,76.0,61.0,35.0,93.0,91.0,12.0,95118.0,Branham High
Del Mar High,5424.0,Del Mar High School,public,9-12,1167.0,6.0,4.0,San Jose,CA,630.0,Campbell Union High School District,607230.0,"1224 Del Mar Avenue, 
San Jose, CA  95128",(408) 626-3403,(408) 295-9476,www.delmar.cuhsd.org,60723000665.0,37.30326,-121.9303,https://www.greatschools.org/california/san-jose/5424-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5424-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5424-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/5424-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,3.0,,4.0,,22.0,296.0,60.0,100.0,60474.0,6.0,4.0,8.0,61.0,300.0,52.0,167.0,25.0,296.0,15.0,165.0,49.0,43.0,93.0,91.0,41.0,95128.0,Del Mar High
Prospect High,5426.0,Prospect High School,public,9-12,1343.0,8.0,3.0,Saratoga,CA,630.0,Campbell Union High School District,607230.0,"18900 Prospect Road, 
Saratoga, CA  95070",(408) 626-3408,(408) 973-1759,www.prospect.cuhsd.org,60723000673.0,37.292892,-122.00238,https://www.greatschools.org/california/saratoga/5426-Prospect-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/saratoga/5426-Prospect-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/saratoga/5426-Prospect-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/saratoga/5426-Prospect-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,4.0,,6.0,,24.0,493.0,82.0,100.0,73509.0,8.0,6.0,10.0,70.0,369.0,54.0,151.0,46.0,369.0,31.0,151.0,55.0,35.0,93.0,87.0,26.0,95070.0,Prospect High
Westmont High,5427.0,Westmont High School,public,9-12,1541.0,8.0,4.0,Campbell,CA,630.0,Campbell Union High School District,607230.0,"4805 Westmont Avenue, 
Campbell, CA  95008",(408) 626-3406,(408) 626-3625,www.westmont.cuhsd.org,60723000676.0,37.270126,-121.98595,https://www.greatschools.org/california/campbell/5427-Westmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/campbell/5427-Westmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/campbell/5427-Westmont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/campbell/5427-Westmont-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,4.0,,4.0,,23.0,513.0,76.0,100.0,78738.0,9.0,4.0,10.0,73.0,358.0,43.0,98.0,51.0,357.0,26.0,97.0,52.0,30.0,94.0,94.0,21.0,95008.0,Westmont High
"Escuela Popular/Center for Training and Careers, Family Learning",14688.0,"Escuela Popular/Center For Training And Careers, Family Learning",charter,9-12,812.0,,5.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"149 North White Road, 
San Jose, CA  95127",(408) 275-7191,(408) 259-7473,www.escuelapopular.org,61182011449.0,37.36998,-121.83165,"https://www.greatschools.org/california/san-jose/14688-Escuela-Popular-Center-For-Training-And-Careers,-Family-Learning/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/san-jose/14688-Escuela-Popular-Center-For-Training-And-Careers,-Family-Learning/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/san-jose/14688-Escuela-Popular-Center-For-Training-And-Careers,-Family-Learning/?utm_source=GSAPI&utm_medium=referral#Reviews","https://www.greatschools.org/california/san-jose/14688-Escuela-Popular-Center-For-Training-And-Careers,-Family-Learning/?utm_source=GSAPI&utm_medium=referral",,,,,,,,,,,,,22.0,21.0,22.0,22.0,32.0,21.0,28.0,3.0,32.0,4.0,28.0,,,2.0,2.0,,95127.0,"Escuela Popular/Center for Training and Careers, Family Learning"
KIPP San Jose Collegiate,24687.0,KIPP San Jose Collegiate,charter,9-12,484.0,8.0,4.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"1790 Educational Park Drive, 
San Jose, CA  95133",(408) 937-3752,(408) 937-3755,www.kippbayarea.org/schools/sjcollegiate,61182012236.0,37.368244,-121.86008,https://www.greatschools.org/california/san-jose/24687-KIPP-San-Jose-Collegiate/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/24687-KIPP-San-Jose-Collegiate/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/24687-KIPP-San-Jose-Collegiate/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/24687-KIPP-San-Jose-Collegiate/?utm_source=GSAPI&utm_medium=referral,6.0,9.0,,10.0,,8.0,,20.0,,64.0,100.0,70611.0,9.0,8.0,9.0,71.0,113.0,68.0,53.0,57.0,113.0,51.0,53.0,100.0,100.0,88.0,87.0,78.0,95133.0,KIPP San Jose Collegiate
Summit Public School: Rainier,25616.0,Summit Public School: Rainier,charter,9-12,375.0,6.0,4.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"1750 South White Road, 
San Jose, CA  95127",(408) 831-3104,,http://rainier.summitps.org/,61182012769.0,37.34616,-121.808266,https://www.greatschools.org/california/san-jose/25616-Summit-Public-School:-Rainier/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/25616-Summit-Public-School:-Rainier/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/25616-Summit-Public-School:-Rainier/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/25616-Summit-Public-School:-Rainier/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,4.0,,6.0,,,,,,,7.0,6.0,9.0,64.0,107.0,54.0,46.0,40.0,107.0,28.0,46.0,96.0,96.0,88.0,87.0,54.0,95127.0,Summit Public School: Rainier
ACE Charter High,27108.0,Ace Charter High,charter,9-12,267.0,3.0,,San Jose,CA,632.0,East Side Union High School District,611820.0,"1776 Educational Park Drive, 
San Jose, CA  95133",(408) 251-1362,,www.acecharter.org,61182013023.0,37.36675,-121.85791,https://www.greatschools.org/california/san-jose/27108-Ace-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/27108-Ace-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/27108-Ace-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/27108-Ace-Charter-High/?utm_source=GSAPI&utm_medium=referral,1.0,4.0,,4.0,,4.0,,,,,,,4.0,4.0,4.0,49.0,41.0,49.0,37.0,15.0,41.0,16.0,37.0,100.0,100.0,83.0,83.0,96.0,95133.0,ACE Charter High
Luis Valdez Leadership Academy,32218.0,Luis Valdez Leadership Academy,charter,9-12,193.0,2.0,,San Jose,CA,632.0,East Side Union High School District,611820.0,"1855 Lucretia Avenue, 
San Jose, CA  95122",(408) 479-0253,,www.sjlvla.org,61182013815.0,37.3204,-121.84812,https://www.greatschools.org/california/san-jose/32218-Luis-Valdez-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32218-Luis-Valdez-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32218-Luis-Valdez-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/32218-Luis-Valdez-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,4.0,34.0,100.0,32.0,85.0,10.0,98.0,9.0,86.0,,,,,87.0,95122.0,Luis Valdez Leadership Academy
B. Roberto Cruz Leadership Academy,32219.0,B. Roberto Cruz Leadership Academy,charter,9-12,81.0,2.0,,San Jose,CA,632.0,East Side Union High School District,611820.0,"14265 Story Road, 
San Jose, CA  95127",(408) 729-2281,,www.sjrcla.org,61182013927.0,37.365883,-121.80572,https://www.greatschools.org/california/san-jose/32219-B.-Roberto-Cruz-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32219-B.-Roberto-Cruz-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32219-B.-Roberto-Cruz-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/32219-B.-Roberto-Cruz-Leadership-Academy/?utm_source=GSAPI&utm_medium=referral,,2.0,,1.0,,1.0,,,,,,,2.0,1.0,2.0,16.0,64.0,11.0,36.0,9.0,64.0,6.0,36.0,,,,,96.0,95127.0,B. Roberto Cruz Leadership Academy
Alpha Cindy Avitia High,32220.0,Alpha: Cindy Avitia High,charter,9-12,487.0,8.0,,San Jose,CA,632.0,East Side Union High School District,611820.0,"1881 Cunningham Avenue, 
San Jose, CA  95122",(408) 758-1195,(408) 791-1558 x906,www.alphapublicschools.org,61182013926.0,37.330196,-121.82912,https://www.greatschools.org/california/san-jose/32220-Alpha:-Cindy-Avitia-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32220-Alpha:-Cindy-Avitia-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/32220-Alpha:-Cindy-Avitia-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/32220-Alpha:-Cindy-Avitia-High/?utm_source=GSAPI&utm_medium=referral,,8.0,,9.0,,8.0,,,,,,,8.0,8.0,9.0,67.0,91.0,67.0,78.0,49.0,90.0,47.0,78.0,,,,,90.0,95122.0,Alpha Cindy Avitia High
Yerba Buena High,5466.0,Yerba Buena High School,public,9-12,1788.0,6.0,4.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"1855 Lucretia Avenue, 
San Jose, CA  95122",(408) 347-4700,(408) 347-4715,http://ybhs.ca.campusgrid.net,61182001310.0,37.32079,-121.84831,https://www.greatschools.org/california/san-jose/5466-Yerba-Buena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5466-Yerba-Buena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5466-Yerba-Buena-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/5466-Yerba-Buena-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,3.0,,5.0,,24.0,359.0,83.0,93.0,81162.0,6.0,5.0,7.0,53.0,378.0,49.0,247.0,30.0,380.0,28.0,248.0,38.0,38.0,82.0,83.0,69.0,95122.0,Yerba Buena High
Santa Teresa High,5464.0,Santa Teresa High School,public,9-12,2227.0,9.0,3.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"6150 Snell Road, 
San Jose, CA  95123",(408) 347-6200,(408) 347-6215,http://stnet.esuhsd.org,61182001308.0,37.235085,-121.8305,https://www.greatschools.org/california/san-jose/5464-Santa-Teresa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5464-Santa-Teresa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5464-Santa-Teresa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/5464-Santa-Teresa-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,6.0,,7.0,,24.0,618.0,92.0,96.0,87186.0,9.0,7.0,9.0,73.0,497.0,62.0,94.0,45.0,494.0,30.0,93.0,55.0,46.0,92.0,89.0,21.0,95123.0,Santa Teresa High
Latino College Preparatory Academy,12068.0,Latino College Preparatory Academy,charter,9-12,422.0,2.0,3.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"14271 Story Road, 
San Jose, CA  95127",(408) 729-2281,(408) 285-5324,www.sjlcpa.org/,61182010402.0,37.35905,-121.816,https://www.greatschools.org/california/san-jose/12068-Latino-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/12068-Latino-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/12068-Latino-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/12068-Latino-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,2.0,,1.0,,18.0,193.0,50.0,86.0,54901.0,1.0,1.0,2.0,26.0,95.0,22.0,59.0,4.0,95.0,5.0,61.0,58.0,58.0,85.0,85.0,95.0,95127.0,Latino College Preparatory Academy
San Jose Conservation Corps Charter,12236.0,San Jose Conservation Corps Charter School,charter,12,288.0,,3.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"1560 Berger Drive, 
San Jose, CA  95112",(408) 459-6404,(408) 287-7015,www.sjcccharterschool.org,61182010664.0,37.37269000000001,-121.89707,https://www.greatschools.org/california/san-jose/12236-San-Jose-Conservation-Corps-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/12236-San-Jose-Conservation-Corps-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/12236-San-Jose-Conservation-Corps-Charter-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/12236-San-Jose-Conservation-Corps-Charter-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,,25.0,,75.0,100.0,48422.0,17.0,17.0,17.0,,,,,,,,,,,17.0,17.0,,95112.0,San Jose Conservation Corps Charter
Evergreen Valley High,12237.0,Evergreen Valley High School,public,9-12,2809.0,10.0,3.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"3300 Quimby Road, 
San Jose, CA  95148",(408) 347-7000,(400) 347-7005,http://esuhsd.org,61182010665.0,37.3252,-121.77866000000002,https://www.greatschools.org/california/san-jose/12237-Evergreen-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/12237-Evergreen-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/12237-Evergreen-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/12237-Evergreen-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,7.0,,8.0,,26.0,702.0,92.0,97.0,125202.0,10.0,8.0,10.0,83.0,701.0,66.0,109.0,72.0,701.0,51.0,109.0,65.0,45.0,94.0,88.0,17.0,95148.0,Evergreen Valley High
Andrew P. Hill High,5455.0,Andrew P. Hill High School,public,9-12,1934.0,5.0,4.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"3200 Senter Road, 
San Jose, CA  95111",(408) 347-4100,(408) 347-4115,,61182001301.0,37.291924,-121.83173,https://www.greatschools.org/california/san-jose/5455-Andrew-P.-Hill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5455-Andrew-P.-Hill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5455-Andrew-P.-Hill-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/5455-Andrew-P.-Hill-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,4.0,,2.0,,4.0,,22.0,387.0,94.0,94.0,86080.0,4.0,4.0,5.0,43.0,442.0,38.0,268.0,23.0,442.0,21.0,267.0,34.0,33.0,81.0,79.0,63.0,95111.0,Andrew P. Hill High
James Lick High,5457.0,James Lick High School,public,9-12,1137.0,5.0,4.0,San Jose,CA,632.0,East Side Union High School District,611820.0,"57 North White Road, 
San Jose, CA  95127",(408) 347-4400,(408) 347-4415,http://jl.ca.campusgrid.net/home,61182001303.0,37.368046,-121.83008999999998,https://www.greatschools.org/california/san-jose/5457-James-Lick-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5457-James-Lick-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-jose/5457-James-Lick-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-jose/5457-James-Lick-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,5.0,,5.0,,20.0,285.0,92.0,89.0,81328.0,5.0,5.0,5.0,53.0,242.0,54.0,183.0,18.0,242.0,17.0,183.0,31.0,31.0,82.0,82.0,76.0,95127.0,James Lick High
